1.38E+03,33000,6.92E+00
1.31E+03,33200,6.56E+00
1.38E+03,33400,6.88E+00
1.26E+03,33600,6.30E+00
1.23E+03,33800,6.14E+00
1.38E+03,34000,6.92E+00
1.36E+03,34200,6.80E+00
1.49E+03,34400,7.44E+00
1.32E+03,34600,6.58E+00
1.42E+03,34800,7.10E+00
1.22E+03,35000,6.08E+00
1.20E+03,35200,6.02E+00
1.21E+03,35400,6.06E+00
1.26E+03,35600,6.29E+00
1.44E+03,35800,7.18E+00
1.35E+03,36000,6.76E+00
1.35E+03,36200,6.74E+00
1.37E+03,36400,6.83E+00
1.29E+03,36600,6.47E+00
1.34E+03,36800,6.69E+00
1.28E+03,37000,6.42E+00
1.30E+03,37200,6.49E+00
1.40E+03,37400,7.02E+00
1.31E+03,37600,6.55E+00
1.39E+03,37800,6.93E+00
1.42E+03,38000,7.12E+00
1.39E+03,38200,6.94E+00
1.31E+03,38400,6.56E+00
1.21E+03,38600,6.06E+00
1.36E+03,38800,6.82E+00
1.39E+03,39000,6.95E+00
1.47E+03,39200,7.34E+00
1.34E+03,39400,6.68E+00
1.32E+03,39600,6.60E+00
1.48E+03,39800,7.39E+00
1.52E+03,40000,7.62E+00
1.49E+03,40200,7.47E+00
1.55E+03,40400,7.77E+00
1.51E+03,40600,7.54E+00
1.30E+03,40800,6.51E+00
1.43E+03,41000,7.17E+00
1.39E+03,41200,6.94E+00
1.51E+03,41400,7.55E+00
1.50E+03,41600,7.52E+00
1.44E+03,41800,7.20E+00
1.30E+03,42000,6.50E+00
1.33E+03,42200,6.66E+00
1.35E+03,42400,6.75E+00
1.33E+03,42600,6.67E+00
1.30E+03,42800,6.49E+00
1.39E+03,43000,6.97E+00
1.54E+03,43200,7.69E+00
1.45E+03,43400,7.25E+00
1.47E+03,43600,7.36E+00
1.43E+03,43800,7.16E+00
1.38E+03,44000,6.89E+00
1.43E+03,44200,7.13E+00
1.18E+03,44400,5.89E+00
1.32E+03,44600,6.58E+00
1.32E+03,44800,6.61E+00
1.46E+03,45000,7.32E+00
1.43E+03,45200,7.13E+00
1.38E+03,45400,6.91E+00
1.29E+03,45600,6.44E+00
1.39E+03,45800,6.96E+00
1.46E+03,46000,7.29E+00
1.47E+03,46200,7.37E+00
1.35E+03,46400,6.74E+00
1.40E+03,46600,7.01E+00
1.36E+03,46800,6.80E+00
1.33E+03,47000,6.63E+00
1.36E+03,47200,6.79E+00
1.35E+03,47400,6.73E+00
1.39E+03,47600,6.95E+00
1.31E+03,47800,6.56E+00
1.42E+03,48000,7.10E+00
1.35E+03,48200,6.73E+00
1.42E+03,48400,7.09E+00
1.37E+03,48600,6.87E+00
1.44E+03,48800,7.19E+00
1.54E+03,49000,7.70E+00
1.47E+03,49200,7.35E+00
1.47E+03,49400,7.33E+00
1.48E+03,49600,7.38E+00
1.49E+03,49800,7.47E+00
1.48E+03,50000,7.39E+00
1.53E+03,50200,7.63E+00
1.35E+03,50400,6.77E+00
1.54E+03,50600,7.72E+00
1.59E+03,50800,7.93E+00
1.47E+03,51000,7.36E+00
1.61E+03,51200,8.03E+00
1.45E+03,51400,7.26E+00
1.39E+03,51600,6.95E+00
1.48E+03,51800,7.39E+00
1.40E+03,52000,7.00E+00
1.41E+03,52200,7.06E+00
1.44E+03,52400,7.19E+00
1.46E+03,52600,7.32E+00
1.49E+03,52800,7.47E+00
1.30E+03,53000,6.52E+00
1.35E+03,53200,6.76E+00
1.37E+03,53400,6.86E+00
1.39E+03,53600,6.97E+00
1.49E+03,53800,7.45E+00
1.39E+03,54000,6.94E+00
1.46E+03,54200,7.30E+00
1.41E+03,54400,7.04E+00
1.40E+03,54600,6.98E+00
1.50E+03,54800,7.51E+00
1.63E+03,55000,8.13E+00
1.54E+03,55200,7.69E+00
1.35E+03,55400,6.74E+00
1.54E+03,55600,7.72E+00
1.59E+03,55800,7.97E+00
